TargetName	DSP-1010474710004-A04	DSP-1010474710004-A06	DSP-1010474710004-A08	DSP-1010474710004-A10	DSP-1010474710004-A12	DSP-1010474710004-B02	DSP-1010474710004-B04	DSP-1010474710004-B06	DSP-1011206234567-H08
ADPRHL1	30	9	5	1	16	3	1	1	2
ADPRHL2	123	34	16	3	93	34	4	7	20
ADPRM	74	20	11	2	36	13	1	4	8
ADRA1A	42	16	11	3	23	10	2	2	7
ADRA1B	49	15	7	1	26	7	1	2	12
ADRA1D	75	25	9	2	39	9	1	1	18
ADRA2A	51	13	5	3	33	6	1	4	11
ADRA2B	36	15	9	1	25	8	2	1	4
ADRA2C	47	17	3	1	22	7	2	4	8
ADRB1	37	17	7	2	14	6	2	1	8
ADRB2	46	14	2	1	18	9	1	2	12
ADRB3	38	13	8	2	19	5	1	4	8
ADRM1	102	22	12	4	33	11	1	7	8
ADSL	50	18	7	1	16	3	1	4	3
ADSS2,ADSS	45	17	5	1	31	6	1	1	22
ADSSL1,ADSS1	47	17	7	3	31	3	1	1	6
ADTRP	25	22	4	1	12	2	1	2	10
AEBP1	276	100	29	7	42	16	1	7	24
AEBP2	79	18	7	1	29	11	1	3	8
AEN	114	40	16	4	44	12	1	6	10
AFAP1	40	16	6	1	16	17	1	3	7
AFAP1L1	49	11	10	2	15	5	3	3	9
AFAP1L2	46	12	3	5	26	6	1	1	21
AFDN	109	31	13	1	71	18	1	8	32
AFF1	103	36	14	3	34	23	1	11	7
AFF2	18	5	2	1	10	1	1	1	2
AFF3	77	37	8	3	24	18	1	1	8
AFF4	97	15	13	1	42	14	2	4	12
AFG1L	44	10	4	1	19	6	1	2	2
AFG3L2	53	20	4	3	37	13	1	5	4
AFM	36	13	6	2	27	8	1	2	6
AFMID	53	10	1	1	20	6	3	3	5
AFP	49	15	7	1	22	4	1	1	9
AFTPH	51	16	12	1	28	9	3	2	7
AGA	70	14	8	4	40	17	1	4	2
AGAP1	155	48	24	7	87	16	2	6	6
AGAP2	69	13	9	4	25	7	1	3	7
AGAP3	59	18	8	3	37	9	1	5	7
AGAP7P,AGAP10P,TIMM23B-AGAP6,AGAP5,BMS1P2-AGAP9,AGAP6,BMS1P4-AGAP5,AGAP4,AGAP12P,LOC107984026,PARGP1-AGAP4,AGAP9	55	20	2	1	31	15	1	6	6
AGBL1	42	27	5	1	14	3	1	2	11
AGBL2	39	11	5	3	13	3	1	1	2
AGBL3	57	13	7	3	28	7	1	4	6
AGBL4	30	16	5	5	10	5	1	1	5
AGBL5	74	29	5	1	24	5	2	5	13
AGER	55	14	8	3	19	7	1	2	8
AGFG1	65	23	9	2	35	14	2	2	4
AGFG2	64	18	7	1	41	7	2	5	5
AGGF1	51	23	7	1	25	6	1	4	4
AGK,DENND11,KIAA1147	66	15	7	2	23	18	4	2	10
AGL	60	22	7	1	22	4	1	1	8
AGMAT	44	15	2	3	21	7	1	1	8
AGMO	58	23	3	5	16	6	1	3	11
AGO1	54	21	1	1	30	6	1	6	5
AGO2	54	21	5	3	39	12	3	3	4
AGO3	36	12	8	1	22	9	1	2	24
AGO4	73	21	5	1	33	10	1	6	17
AGPAT1	86	29	9	7	40	14	1	10	7
AGPAT2	29	11	4	1	10	2	1	3	4
AGPAT3	71	24	14	3	29	7	2	1	5
AGPAT4	55	15	1	3	28	11	1	1	5
AGPAT5	61	21	8	4	36	11	1	3	5
AGPS	74	34	8	2	49	8	2	6	4
AGR2	42	6	3	1	17	9	1	4	7
AGR3	44	22	8	2	22	5	2	1	11
AGRN	66	31	12	3	36	10	1	4	3
AGRP	33	12	9	4	22	7	1	3	11
AGT	191	57	26	10	164	49	8	12	16
AGTPBP1	47	16	6	1	49	7	4	3	7
AGTR1	44	16	5	1	21	7	1	3	10
AGTR2	47	8	6	1	29	8	1	2	7
AGTRAP	47	11	8	1	35	9	2	4	9
AGXT	45	13	5	1	23	2	1	3	4
AGXT2	55	14	6	1	19	1	2	2	12
AHCTF1,AHCTF1P1	101	30	9	8	35	11	1	1	12
AHCY	92	32	16	5	39	7	1	3	15
AHCYL1	231	79	36	1	70	16	2	5	9
AHCYL2	68	14	12	2	32	6	1	3	11
AHDC1	54	15	4	2	27	8	1	2	5
AHI1	35	12	1	1	18	7	1	4	40
AHNAK	140	43	19	5	65	19	1	9	6
AHNAK2	43	11	6	5	16	4	1	3	4
AHR	90	25	7	3	49	15	1	1	8
AHRR	51	15	9	1	15	4	1	3	3
AHSA1	59	13	10	3	40	10	1	4	7
AHSG	56	21	8	3	28	9	1	1	2
AHSP	61	19	8	5	30	6	1	5	7
AICDA	27	12	5	3	12	5	1	1	11
AIDA	99	36	11	4	40	16	1	2	15
AIF1	75	18	6	2	36	15	1	1	5
AIF1L	69	24	9	5	46	14	2	3	8
AIFM1	33	10	8	4	32	5	2	2	5
AIFM2	48	13	4	2	24	6	2	1	7
AIFM3	45	10	4	2	11	5	1	1	7
AIG1	55	11	5	4	23	5	1	2	7
AIM2	35	11	3	1	11	7	1	2	3
AIMP1	57	14	5	1	29	7	3	5	7
AIMP2	58	19	5	1	20	5	1	1	6
AIP	40	17	6	2	31	8	2	4	7
AIPL1	52	21	5	2	15	6	2	1	9
AIRE	79	23	8	3	30	8	1	3	15
AJAP1	53	12	5	1	24	8	3	2	9
AJM1	58	22	6	1	24	7	1	2	7
AJUBA	61	16	6	4	22	7	1	1	8
AK1	54	13	6	1	43	8	4	2	21
AK2	112	42	11	3	46	19	1	3	5
AK3	79	22	8	1	35	12	1	4	7
AK4	106	28	10	4	54	9	1	9	10
AK5	36	15	5	1	44	20	2	3	6
AK6	75	20	9	1	20	8	3	5	8
AK7	48	18	4	1	25	10	1	4	9
AK8	64	14	9	2	13	3	1	1	6
AK9	39	8	5	2	29	5	1	1	8
AKAIN1	40	9	4	1	20	4	1	1	1
AKAP1	70	22	4	1	27	8	1	4	10
AKAP10	63	25	11	2	35	1	2	1	10
AKAP11	60	18	3	3	40	8	1	4	9
AKAP12	64	17	6	4	27	4	1	6	10
AKAP13	36	20	2	4	32	7	1	2	8
AKAP14	21	8	1	3	13	1	1	3	3
AKAP17A	55	13	2	1	26	10	1	4	4
AKAP3	47	15	4	2	10	3	2	6	2
AKAP4	25	10	5	1	15	1	1	3	7
AKAP5	59	16	4	1	16	7	1	2	3
AKAP6	57	11	5	2	48	9	1	1	4
AKAP7	49	14	4	1	29	6	2	2	2
AKAP8	7	4	1	1	2	1	1	1	1
AKAP8L	59	27	6	3	27	16	1	3	6
AKAP9	42	19	6	4	21	12	3	5	11
AKIP1	48	22	7	1	26	7	1	5	10
AKIRIN1	86	28	7	7	53	15	1	6	4
AKIRIN2	82	21	11	5	30	16	1	1	6
AKNA	58	21	8	2	33	10	1	3	5
AKNAD1	51	21	7	2	16	4	1	4	4
AKR1A1	88	22	7	2	37	9	1	2	5
AKR1B1	85	35	9	7	36	15	1	3	2
AKR1B10,AKR1B15	83	18	9	4	17	6	1	3	13
AKR1C1,AKR1C2	17	4	2	1	5	1	1	1	1
AKR1C3	66	19	10	1	23	14	1	5	3
AKR1C4	43	7	1	1	14	7	4	2	7
AKR1D1	39	16	8	1	23	7	1	1	5
AKR1E2	52	13	8	2	18	4	1	1	9
AKR7A2	60	29	8	3	22	5	4	2	7
AKR7A3	74	12	4	3	14	8	4	1	5
AKR7L	66	21	3	1	20	8	1	3	5
AKT1	63	37	6	1	27	7	1	3	18
AKT1S1	56	18	4	1	20	5	1	6	6
AKT2	110	31	10	1	38	8	1	7	7
AKT3	66	23	9	5	29	12	1	2	11
AKTIP	51	21	9	3	39	14	1	3	9
ALAD	56	28	3	1	26	8	1	4	4
ALAS1	58	16	9	1	23	12	1	3	6
ALAS2	48	12	5	1	17	10	1	1	10
ALB	55	12	8	2	22	6	2	3	11
ALCAM	82	19	6	1	80	25	4	9	10
ALDH16A1	56	16	13	1	22	4	1	1	4
ALDH18A1	49	12	9	4	18	8	1	5	8
ALDH1A1	45	17	1	1	24	10	3	4	9
ALDH1A2	59	16	7	3	22	6	2	2	10
ALDH1B1	56	21	12	1	25	9	2	4	9
ALDH1L1	63	13	11	2	18	8	1	1	10
ALDH1L2	35	12	3	1	17	5	1	3	3
