TargetName	HUGOSymbol	TargetGroup	AnalyteType	CodeClass
SHC4	SHC4	All Probes	RNA	Endogenous
BTLA	BTLA	All Probes	RNA	Endogenous
AKT2	AKT2	All Probes	RNA	Endogenous
TFE3	TFE3	All Probes	RNA	Endogenous
TRAF1	TRAF1	All Probes	RNA	Endogenous
CXCL6	CXCL6	All Probes	RNA	Endogenous
PPARGC1B	PPARGC1B	All Probes	RNA	Endogenous
BCL2L1	BCL2L1	All Probes	RNA	Endogenous
PVR	PVR	All Probes	RNA	Endogenous
CD99	CD99	All Probes	RNA	Endogenous
MS4A2	MS4A2	All Probes	RNA	Endogenous
DUSP5	DUSP5	All Probes	RNA	Endogenous
CDC25B	CDC25B	All Probes	RNA	Endogenous
IFNG	IFNG	All Probes	RNA	Endogenous
ALKBH3	ALKBH3	All Probes	RNA	Endogenous
ALK	ALK	All Probes	RNA	Endogenous
HPGD	HPGD	All Probes	RNA	Endogenous
TLR4	TLR4	All Probes	RNA	Endogenous
TBP	TBP	All Probes	RNA	Endogenous
MST1R	MST1R	All Probes	RNA	Endogenous
CD19	CD19	All Probes	RNA	Endogenous
TIGIT	TIGIT	All Probes	RNA	Endogenous
PMS2	PMS2	All Probes	RNA	Endogenous
BRAF	BRAF	All Probes	RNA	Endogenous
H3F3A	"H3P6,H3-3A"	All Probes	RNA	Endogenous
LTBR	LTBR	All Probes	RNA	Endogenous
CCL8	CCL8	All Probes	RNA	Endogenous
FLNC	FLNC	All Probes	RNA	Endogenous
FGFR1	FGFR1	All Probes	RNA	Endogenous
TLR5	TLR5	All Probes	RNA	Endogenous
DEFB134	DEFB134	All Probes	RNA	Endogenous
COL11A2	COL11A2	All Probes	RNA	Endogenous
ERCC2	ERCC2	All Probes	RNA	Endogenous
IL17RB	IL17RB	All Probes	RNA	Endogenous
IFITM1	IFITM1	All Probes	RNA	Endogenous
KRT7	KRT7	All Probes	RNA	Endogenous
PRMT8	PRMT8	All Probes	RNA	Endogenous
ATG7	ATG7	All Probes	RNA	Endogenous
MAPK12	MAPK12	All Probes	RNA	Endogenous
MAML2	MAML2	All Probes	RNA	Endogenous
KDM5C	KDM5C	All Probes	RNA	Endogenous
ALCAM	ALCAM	All Probes	RNA	Endogenous
CD34	CD34	All Probes	RNA	Endogenous
MAP3K8	MAP3K8	All Probes	RNA	Endogenous
DLL1	DLL1	All Probes	RNA	Endogenous
GRIN2B	GRIN2B	All Probes	RNA	Endogenous
TNFRSF4	TNFRSF4	All Probes	RNA	Endogenous
MAP2K1	MAP2K1	All Probes	RNA	Endogenous
PIK3CA	PIK3CA	All Probes	RNA	Endogenous
SYT17	SYT17	All Probes	RNA	Endogenous
HLA-E	HLA-E	All Probes	RNA	Endogenous
LEPR	LEPR	All Probes	RNA	Endogenous
GAS1	GAS1	All Probes	RNA	Endogenous
